Date,DHIAv,DHIMax,DNIAv,DNIMax,GHIAv,GHIMax,CDHIAv,CDHIMax,CDNIAv,CDNIMax,CGHIAv,CGHIMax,DPMin,DPAv,DPMax,WSMin,WSAv,WSMax,RainMin,RainAv,RainMax,RHMin,RHAv,RHMax,TMin,TAv,TMax,PMin,PAv,PMax,year,month,day,Weekday,Weekend,Festive,Q
2013-01-01,60.041666666666664,232,9.083333333333334,145,64.625,271,37.041666666666664,118,291.4583333333333,846,179.29166666666666,676,1.0,6.375,11.0,0.5,2.1416666666666666,5.1,2.5980000000000003,2.9489583333333322,3.523,49.53,74.57541666666667,100.0,10.0,14.5,18.0,950,952.0833333333334,960,2013,1,1,1,0,1,10782.8398
2013-01-02,42.875,165,0.041666666666666664,1,42.916666666666664,166,41.125,129,274.5833333333333,818,176.83333333333334,669,3.0,4.708333333333333,6.0,0.5,1.8125,2.6,2.474,2.865583333333334,3.091,79.59,93.39541666666668,100.0,8.0,9.291666666666666,12.0,950,955.4166666666666,960,2013,1,2,1,0,0,8289.3878
2013-01-03,46.0,192,125.375,792,106.83333333333333,666,49.125,156,263.2916666666667,798,180.75,685,0.0,2.2083333333333335,4.0,1.2,2.254166666666667,3.5,1.585,1.9432916666666664,2.394,70.95,90.04916666666668,100.0,5.0,7.166666666666667,10.0,960,960.0,960,2013,1,3,1,0,0,9153.6818
2013-01-04,44.375,166,145.79166666666666,823,110.58333333333333,669,44.625,135,271.7916666666667,830,180.91666666666666,685,1.0,2.9583333333333335,5.0,0.3,1.6874999999999993,3.5,2.009,2.135,2.365,62.06,89.70416666666665,100.0,5.0,8.125,15.0,960,960.0,960,2013,1,4,1,0,0,8894.7788
2013-01-05,64.875,291,180.79166666666666,896,153.5,684,36.375,117,300.7916666666667,901,185.08333333333334,699,4.0,5.416666666666667,7.0,0.5,1.6416666666666666,3.7,2.008,2.2005416666666666,2.4419999999999997,48.8,83.21208333333333,100.0,7.0,11.791666666666666,21.0,960,960.0,960,2013,1,5,0,1,0,9691.8726
2013-01-06,34.666666666666664,104,317.9166666666667,924,191.25,717,34.666666666666664,104,317.9166666666667,924,191.25,717,-1.0,1.7083333333333333,6.0,0.4,1.8375000000000001,3.7,1.173,1.5586666666666666,2.221,31.11,67.11083333333333,100.0,7.0,11.708333333333334,20.0,960,960.0,960,2013,1,6,0,1,0,10773.0212
2013-01-07,77.58333333333333,321,111.75,508,139.125,577,34.125,101,318.4583333333333,928,191.70833333333334,720,-1.0,2.4166666666666665,8.0,0.5,2.1750000000000003,4.6,1.2,1.7005416666666668,2.695,39.11,66.39875000000002,100.0,6.0,12.125,20.0,950,954.1666666666666,960,2013,1,7,1,0,0,9206.5793
2013-01-08,64.125,329,21.291666666666668,250,74.5,412,32.958333333333336,96,306.1666666666667,895,184.875,695,8.0,9.75,12.0,0.5,1.3291666666666666,3.0,2.487,2.8298333333333336,3.1830000000000003,51.97,86.40333333333335,100.0,11.0,15.833333333333334,24.0,940,946.6666666666666,950,2013,1,8,1,0,0,10022.1028
2013-01-09,28.208333333333332,81,342.4583333333333,987,198.45833333333334,743,27.75,81,350.4166666666667,987,199.58333333333334,743,-3.0,3.0,9.0,0.7,1.4625000000000001,2.6,0.883,1.3849999999999998,2.36,19.08,64.14708333333334,100.0,9.0,14.916666666666666,24.0,950,950.0,950,2013,1,9,1,0,0,10129.6977
2013-01-10,25.958333333333332,77,361.9583333333333,1002,203.04166666666666,751,25.958333333333332,77,361.9583333333333,1002,203.04166666666666,751,-1.0,1.0833333333333333,4.0,1.1,1.5958333333333334,3.4,0.682,0.8464999999999999,1.129,19.72,53.36583333333334,82.61,7.0,15.125,26.0,950,950.0,950,2013,1,10,1,0,0,10270.8666
2013-01-11,75.125,309,135.16666666666666,576,144.04166666666666,613,26.791666666666668,79,356.75,995,202.45833333333334,750,1.0,3.9583333333333335,8.0,0.6,1.4749999999999999,2.7,0.804,1.089875,1.725,18.0,49.77458333333332,73.68,11.0,19.541666666666668,31.0,950,950.0,950,2013,1,11,1,0,0,10749.6267
2013-01-12,81.33333333333333,311,96.875,481,132.125,582,27.125,79,334.375,942,192.875,715,6.0,7.458333333333333,11.0,0.4,1.6208333333333333,2.8,1.621,2.252291666666667,2.677,24.69,53.13375,67.61,16.0,21.541666666666668,32.0,940,946.25,950,2013,1,12,0,1,0,11585.4124
2013-01-13,80.45833333333333,337,35.875,245,100.16666666666667,458,29.541666666666668,89,337.9166666666667,949,197.83333333333334,733,-2.0,0.4583333333333333,6.0,0.9,3.1375000000000006,5.3,1.5490000000000002,1.7792500000000002,2.2840000000000003,31.91,52.22375,68.02,9.0,13.208333333333334,19.0,950,950.0,950,2013,1,13,0,1,0,10019.4758
2013-01-14,57.666666666666664,289,199.66666666666666,917,162.41666666666666,709,31.208333333333332,95,326.4166666666667,928,194.875,723,0.0,1.0,2.0,0.8,2.1083333333333334,4.3,2.149,2.3237916666666667,2.53,34.18,60.56083333333334,81.2,7.0,12.208333333333334,21.0,950,950.0,950,2013,1,14,1,0,0,10255.7389
2013-01-15,77.125,303,127.70833333333333,563,141.20833333333334,598,30.375,90,338.5,950,200.33333333333334,739,-2.0,0.5833333333333334,2.0,1.0,2.2291666666666665,4.0,1.25,1.667333333333333,2.29,35.87,65.52958333333333,84.53,4.0,10.083333333333334,17.0,950,951.6666666666666,960,2013,1,15,1,0,0,9645.5468
2013-01-16,33.166666666666664,153,326.6666666666667,1050,204.375,795,25.875,75,382.0,1050,216.375,795,-19.0,-8.958333333333334,-2.0,1.1,3.4749999999999996,7.1,0.298,0.5730833333333334,1.172,8.85,42.97125,80.34,1.0,7.5,16.0,960,960.0,960,2013,1,16,1,0,0,9985.5027
2013-01-17,41.625,196,258.4166666666667,1001,184.79166666666666,764,26.416666666666668,76,363.3333333333333,1001,208.625,764,-10.0,-4.458333333333333,1.0,0.3,1.991666666666666,3.8,0.536,0.8597916666666664,1.043,23.81,43.409166666666664,68.92,4.0,10.5,19.0,960,960.0,960,2013,1,17,1,0,0,10230.4951
2013-01-18,44.458333333333336,227,280.3333333333333,967,190.375,757,30.541666666666668,90,346.0416666666667,967,206.125,757,-1.0,-0.25,1.0,0.5,1.825,3.9,0.995,1.1519166666666667,1.338,30.77,56.23166666666666,72.6,7.0,11.416666666666666,19.0,960,960.0,960,2013,1,18,1,0,0,9880.8341
2013-01-19,29.583333333333332,86,351.375,977,208.16666666666666,763,29.583333333333332,86,351.375,977,208.16666666666666,763,-1.0,0.375,2.0,0.5,1.2666666666666668,2.6,0.873,1.143625,1.347,22.16,50.44083333333333,71.24,8.0,14.375,24.0,950,958.3333333333334,960,2013,1,19,0,1,0,10640.033000000001
2013-01-20,59.25,247,225.70833333333334,915,179.29166666666666,741,35.625,112,329.8333333333333,943,205.25,751,-1.0,1.3333333333333333,5.0,0.8,1.366666666666667,2.8,0.8240000000000001,1.22225,1.4809999999999999,24.65,46.94416666666668,72.06,12.0,16.583333333333332,25.0,950,957.0833333333334,960,2013,1,20,0,1,0,11615.3045
2013-01-21,67.5,286,191.95833333333334,870,170.41666666666666,652,38.083333333333336,118,314.2916666666667,906,201.25,742,4.0,5.75,9.0,0.2,1.75,4.3,1.4769999999999999,1.8701249999999998,2.229,33.17,63.88875000000001,100.0,12.0,16.666666666666668,25.0,950,953.75,960,2013,1,21,1,0,0,9831.0017
2013-01-22,78.66666666666667,333,28.916666666666668,228,94.25,431,54.25,177,256.25,787,190.875,708,8.0,9.541666666666666,11.0,0.3,1.7416666666666665,4.0,2.294,2.6724166666666664,2.826,56.48,86.16833333333334,100.0,12.0,15.333333333333334,22.0,950,959.5833333333334,960,2013,1,22,1,0,0,10072.1606
2013-01-23,42.041666666666664,169,284.125,896,194.125,739,38.833333333333336,120,309.2083333333333,896,200.83333333333334,739,9.0,9.125,10.0,0.3,1.3458333333333334,3.0,1.6480000000000001,2.323166666666667,2.658,41.58,75.66333333333333,100.0,12.0,17.416666666666668,26.0,960,960.0,960,2013,1,23,1,0,0,10041.5647
2013-01-24,29.791666666666668,86,351.0416666666667,975,212.54166666666666,774,29.791666666666668,86,351.0416666666667,975,212.54166666666666,774,4.0,7.208333333333333,9.0,0.9,1.629166666666667,3.1,1.324,1.4533333333333334,1.649,25.86,62.60583333333332,96.32,13.0,19.458333333333332,29.0,960,960.0,960,2013,1,24,1,0,0,10065.0135
2013-01-25,33.0,96,339.0416666666667,955,211.45833333333334,771,33.0,96,339.0416666666667,955,211.45833333333334,771,4.0,6.0,8.0,1.2,1.75,3.1,1.217,1.5050416666666664,1.828,24.22,54.63666666666666,83.71,13.0,20.208333333333332,30.0,950,952.9166666666666,960,2013,1,25,1,0,0,10323.1261
2013-01-26,36.916666666666664,138,317.5,942,207.45833333333334,769,34.208333333333336,100,334.5833333333333,942,211.0,769,4.0,4.833333333333333,6.0,0.7,2.0125,4.7,1.608,1.6725416666666664,1.768,24.01,48.08541666666667,67.43,15.0,20.375,30.0,950,950.0,950,2013,1,26,0,1,0,11058.315
2013-01-27,50.375,244,250.5,908,191.41666666666666,749,36.333333333333336,107,321.375,910,207.58333333333334,756,5.0,6.416666666666667,9.0,0.8,1.5083333333333335,2.9,1.855,2.0965000000000003,2.286,26.06,56.04916666666666,81.24,14.0,19.75,29.0,950,950.0,950,2013,1,27,0,1,0,11788.1924
2013-01-28,36.416666666666664,105,307.0,923,207.66666666666666,765,35.291666666666664,105,326.2916666666667,923,210.70833333333334,765,5.0,7.875,11.0,0.9,1.604166666666667,3.2,1.893,1.992625,2.1590000000000003,23.08,56.51125000000002,83.89,14.0,21.833333333333332,32.0,950,950.0,950,2013,1,28,1,0,0,9083.2587
2013-01-29,74.0,306,192.25,914,175.83333333333334,691,27.666666666666668,77,361.2083333333333,984,219.25,785,-2.0,3.625,9.0,1.4,2.6374999999999997,5.2,0.645,1.4625000000000001,2.119,17.27,40.82041666666667,70.01,15.0,22.208333333333332,32.0,940,946.6666666666666,950,2013,1,29,1,0,0,10088.065
2013-01-30,43.25,242,312.1666666666667,1023,212.70833333333334,826,28.666666666666668,85,378.2083333333333,1023,230.25,826,-9.0,-5.041666666666667,-2.0,0.7,2.808333333333333,6.3,0.5479999999999999,0.593125,0.6579999999999999,14.58,32.41166666666667,45.68,9.0,14.5,22.0,950,954.1666666666666,960,2013,1,30,1,0,0,10540.4426
2013-01-31,82.83333333333333,361,156.66666666666666,931,169.70833333333334,607,30.5,87,360.625,991,224.66666666666666,808,-7.0,-4.083333333333333,0.0,0.8,2.0333333333333337,4.2,0.653,1.0341250000000002,1.3780000000000001,15.17,38.24208333333333,60.59,7.0,13.666666666666666,23.0,960,960.0,960,2013,1,31,1,0,0,10262.3963
2013-02-01,51.208333333333336,288,285.3333333333333,935,204.125,788,36.541666666666664,105,331.1666666666667,935,217.79166666666666,788,0.0,4.458333333333333,9.0,0.1,2.3125000000000004,5.1,1.462,1.7505,1.942,31.2,64.60416666666667,100.0,10.0,15.375,25.0,950,959.1666666666666,960,2013,2,1,1,0,0,10237.0
2013-02-02,42.916666666666664,301,310.875,962,214.0,803,33.375,95,347.125,962,223.29166666666666,803,2.0,5.458333333333333,9.0,0.2,1.4458333333333335,3.2,1.371,1.5846249999999997,2.154,26.13,61.8125,100.0,12.0,17.708333333333332,26.0,960,960.0,960,2013,2,2,0,1,0,11444.0
2013-02-03,96.20833333333333,362,39.208333333333336,224,118.41666666666667,474,47.958333333333336,155,292.875,851,210.95833333333334,759,8.0,8.708333333333334,10.0,0.1,2.7416666666666667,5.6,2.181,2.48575,2.7880000000000003,39.8,69.77208333333334,91.52,13.0,18.25,26.0,950,955.4166666666666,960,2013,2,3,0,1,0,11152.0
2013-02-04,32.208333333333336,90,339.3333333333333,954,221.45833333333334,797,31.791666666666668,90,344.2083333333333,954,222.04166666666666,797,3.0,6.583333333333333,10.0,0.7,2.283333333333333,4.9,1.975,2.2218750000000003,2.5540000000000003,21.79,57.327916666666674,99.76,13.0,20.833333333333332,31.0,950,950.0,950,2013,2,4,1,0,1,8599.0
2013-02-05,44.666666666666664,244,293.4166666666667,917,210.70833333333334,784,38.75,113,316.2083333333333,917,216.58333333333334,784,5.0,8.041666666666666,12.0,0.6,1.5583333333333336,3.2,2.589,2.861916666666666,3.1639999999999997,30.17,53.93041666666665,85.8,16.0,21.791666666666668,30.0,950,950.0,950,2013,2,5,1,0,0,10183.0
2013-02-06,29.958333333333332,84,355.1666666666667,976,227.95833333333334,814,29.958333333333332,84,355.1666666666667,976,227.95833333333334,814,2.0,7.916666666666667,12.0,0.3,1.1291666666666667,2.1,1.755,2.1642083333333333,2.985,18.18,57.94708333333333,98.85,15.0,22.083333333333332,32.0,950,950.0,950,2013,2,6,1,0,0,10209.0
2013-02-07,28.916666666666668,83,371.5416666666667,982,231.83333333333334,822,28.916666666666668,83,371.5416666666667,982,231.83333333333334,822,0.0,4.541666666666667,9.0,0.3,1.633333333333333,3.6,1.605,1.7955833333333333,2.164,16.52,45.198333333333345,71.33,15.0,21.875,31.0,950,950.0,950,2013,2,7,1,0,0,10252.0
2013-02-08,63.708333333333336,377,45.75,449,78.20833333333333,470,46.125,135,310.2916666666667,870,221.29166666666666,792,5.0,8.583333333333334,12.0,0.5,2.6875,5.1,2.144,2.3799166666666665,2.614,42.38,63.91499999999999,99.24,15.0,19.25,26.0,950,952.5,960,2013,2,8,1,0,0,10567.0
2013-02-09,56.125,307,210.95833333333334,952,183.33333333333334,822,35.458333333333336,100,347.6666666666667,952,231.33333333333334,822,2.0,8.958333333333334,13.0,0.4,1.7291666666666663,4.1,1.705,1.9909583333333332,2.475,17.57,63.03041666666666,100.0,14.0,22.25,33.0,950,950.0,950,2013,2,9,0,1,0,11575.0
2013-02-10,38.875,136,327.4583333333333,953,227.54166666666666,823,36.791666666666664,115,346.25,953,231.33333333333334,823,0.0,2.125,7.0,0.7,1.9375000000000002,4.1,1.666,1.9000416666666673,2.206,16.48,36.184583333333336,61.28,16.0,22.291666666666668,32.0,940,949.1666666666666,950,2013,2,10,0,1,0,11011.0
2013-02-11,33.75,92,339.7083333333333,958,230.83333333333334,826,32.583333333333336,92,356.9166666666667,958,233.375,826,2.0,4.541666666666667,7.0,0.3,1.9708333333333332,3.7,2.116,2.2982916666666666,2.551,22.38,44.340833333333336,66.65,14.0,21.375,32.0,950,950.0,950,2013,2,11,1,0,0,9637.0
2013-02-12,83.75,390,173.16666666666666,967,176.04166666666666,833,32.125,92,363.0,967,236.33333333333334,833,1.0,4.375,8.0,0.3,1.979166666666667,4.2,1.475,2.0493333333333332,2.5669999999999997,19.24,47.96208333333334,81.94,14.0,20.791666666666668,31.0,950,950.0,950,2013,2,12,1,0,0,10363.0
2013-02-13,58.125,279,237.66666666666666,925,211.25,832,42.958333333333336,125,332.25,925,234.95833333333334,832,0.0,0.9583333333333334,3.0,0.8,2.4875,4.7,1.143,1.9240000000000004,2.741,28.12,48.41083333333333,66.1,10.0,15.666666666666666,23.0,950,950.0,950,2013,2,13,1,0,0,10418.0
