date,Q,DHIAv,DHIMax,DNIAv,DNIMax,GHIAv,GHIMax,DPMin,DPAv,DPMax,WSMin,WSAv,WSMax,RainMin,RainAv,RainMax,RHMin,RHAv,RHMax,TMin,TAv,TMax,PMin,PAv,PMax,Weekday,Weekend,Festive,year,day_of_month,day_of_week,month
2013-01-01,10782.8398,60.04166667,232,9.083333332999999,145,64.625,271,1.0,6.375,11.0,0.5,2.141666667,5.1,2.5980000000000003,2.948958333,3.523,49.53,74.57541667,100.0,10.0,14.5,18.0,950,952.0833332999998,960,1,0,1,2013,1,1,1
2013-01-02,8289.3878,42.875,165,0.041666667000000004,1,42.91666667,166,3.0,4.708333333,6.0,0.5,1.8125,2.6,2.474,2.865583333,3.091,79.59,93.39541667,100.0,8.0,9.291666667000001,12.0,950,955.4166667000002,960,1,0,0,2013,2,2,1
2013-01-03,9153.6818,46.0,192,125.375,792,106.83333329999999,666,0.0,2.208333333,4.0,1.2,2.254166667,3.5,1.585,1.9432916669999998,2.394,70.95,90.04916667,100.0,5.0,7.166666667,10.0,960,960.0,960,1,0,0,2013,3,3,1
2013-01-04,8894.7788,44.375,166,145.79166669999998,823,110.58333329999999,669,1.0,2.958333333,5.0,0.3,1.6875,3.5,2.009,2.135,2.365,62.06,89.70416667,100.0,5.0,8.125,15.0,960,960.0,960,1,0,0,2013,4,4,1
2013-01-05,9691.8726,64.875,291,180.79166669999998,896,153.5,684,4.0,5.416666667,7.0,0.5,1.641666667,3.7,2.008,2.200541667,2.4419999999999997,48.8,83.21208333,100.0,7.0,11.79166667,21.0,960,960.0,960,0,1,0,2013,5,5,1
2013-01-06,10773.0212,34.66666667,104,317.9166667,924,191.25,717,-1.0,1.7083333330000001,6.0,0.4,1.8375,3.7,1.173,1.5586666669999998,2.221,31.11,67.11083333,100.0,7.0,11.70833333,20.0,960,960.0,960,0,1,0,2013,6,6,1
2013-01-07,9206.5793,77.58333333,321,111.75,508,139.125,577,-1.0,2.416666667,8.0,0.5,2.175,4.6,1.2,1.700541667,2.695,39.11,66.39875,100.0,6.0,12.125,20.0,950,954.1666667000002,960,1,0,0,2013,7,0,1
2013-01-08,10022.1028,64.125,329,21.29166667,250,74.5,412,8.0,9.75,12.0,0.5,1.329166667,3.0,2.487,2.8298333330000003,3.1830000000000003,51.97,86.40333333,100.0,11.0,15.83333333,24.0,940,946.6666667000002,950,1,0,0,2013,8,1,1
2013-01-09,10129.6977,28.20833333,81,342.4583333,987,198.45833330000002,743,-3.0,3.0,9.0,0.7,1.4625,2.6,0.883,1.385,2.36,19.08,64.14708333,100.0,9.0,14.91666667,24.0,950,950.0,950,1,0,0,2013,9,2,1
2013-01-10,10270.8666,25.95833333,77,361.9583333,1002,203.04166669999998,751,-1.0,1.083333333,4.0,1.1,1.595833333,3.4,0.682,0.8465,1.129,19.72,53.36583333,82.61,7.0,15.125,26.0,950,950.0,950,1,0,0,2013,10,3,1
2013-01-11,10749.6267,75.125,309,135.16666669999998,576,144.04166669999998,613,1.0,3.958333333,8.0,0.6,1.475,2.7,0.804,1.089875,1.725,18.0,49.77458333,73.68,11.0,19.54166667,31.0,950,950.0,950,1,0,0,2013,11,4,1
