Date,Nivel,Rain
01/01/2004,268,0
02/01/2004,268,0
03/01/2004,267,0
04/01/2004,267,0
05/01/2004,267,0
06/01/2004,266,0
07/01/2004,266,0
08/01/2004,265,0
09/01/2004,264,0
10/01/2004,264,0
11/01/2004,263,0
12/01/2004,262,0
13/01/2004,261,0
14/01/2004,260,0
15/01/2004,259,0
16/01/2004,258,0
17/01/2004,256,0
18/01/2004,254,0
19/01/2004,252,0
20/01/2004,250,0
21/01/2004,247,0
22/01/2004,244,0
23/01/2004,242,0
24/01/2004,239,0
25/01/2004,237,0
26/01/2004,234,0
27/01/2004,232,2
28/01/2004,230,17
29/01/2004,227,0
30/01/2004,225,0
31/01/2004,223,0
01/02/2004,220,0
02/02/2004,218,0
03/02/2004,216,0
04/02/2004,213,0
05/02/2004,211,0
06/02/2004,209,0
07/02/2004,206,0
08/02/2004,204,0
09/02/2004,202,0
10/02/2004,200,0
11/02/2004,197,0
12/02/2004,195,0
13/02/2004,193,0
14/02/2004,191,0
15/02/2004,189,0
16/02/2004,186,0
17/02/2004,184,0
18/02/2004,182,0
19/02/2004,179,0
20/02/2004,177,0
21/02/2004,175,0
22/02/2004,172,0
23/02/2004,170,0
24/02/2004,168,0
25/02/2004,165,0
26/02/2004,163,0
27/02/2004,161,0
28/02/2004,158,0
29/02/2004,156,0
01/03/2004,153,0
02/03/2004,151,0
03/03/2004,149,0
04/03/2004,147,0
05/03/2004,145,0
06/03/2004,143,0
07/03/2004,141,0
08/03/2004,139,0
09/03/2004,137,0
10/03/2004,135,0
11/03/2004,134,0
12/03/2004,137,0
13/03/2004,140,0
14/03/2004,144,0
15/03/2004,147.7,0
16/03/2004,151.5,0
17/03/2004,155.3,0
18/03/2004,158.5,0
19/03/2004,161.7,0
20/03/2004,165,0
21/03/2004,168.2,0
22/03/2004,171.5,0
23/03/2004,174.9,0
24/03/2004,177,0
25/03/2004,179,0
26/03/2004,181,0
27/03/2004,182.8,0
28/03/2004,184.7,0
29/03/2004,186.6,0
30/03/2004,187.8,0
31/03/2004,188.8,0
01/04/2004,190,0
02/04/2004,191.1,0
03/04/2004,191.7,0
04/04/2004,192.4,0
05/04/2004,192.7,0
06/04/2004,191.7,0
07/04/2004,190,0
08/04/2004,188.3,0
09/04/2004,186.8,0
10/04/2004,186.3,0
11/04/2004,186.3,0
12/04/2004,186.3,0
13/04/2004,186.3,0
14/04/2004,185.6,0
15/04/2004,184.6,0
16/04/2004,182.9,0
17/04/2004,180.9,0
18/04/2004,178.7,0
19/04/2004,176.5,0
20/04/2004,174.2,0
21/04/2004,171.7,0
22/04/2004,169.4,0
23/04/2004,167.4,0
24/04/2004,165.4,0
25/04/2004,163.3,0
